,Rank,Num Serre,Scenario,Month Index,CA_expr,CMO_expr,CV_expr,Secteur
0,1,1,3,35,40709789.7023933,5303308.412173773,25370688.0,1
1,1,2,3,35,40709789.7023933,5303308.412173773,25370688.0,1
2,1,3,3,35,40709789.7023933,5303308.412173773,25370688.0,1
3,1,4,3,35,40709789.7023933,5303308.412173773,25370688.0,1
4,1,5,3,35,40709789.7023933,5303308.412173773,25370688.0,1
5,1,6,3,35,40709789.7023933,5303308.412173773,25370688.0,1
6,1,7,3,35,40709789.7023933,5303308.412173773,25370688.0,2
7,1,8,3,35,40709789.7023933,5303308.412173773,25370688.0,2
8,1,9,3,35,40709789.7023933,5303308.412173773,25370688.0,2
9,1,10,3,35,40709789.7023933,5303308.412173773,25370688.0,2
10,1,11,3,35,40709789.7023933,5303308.412173773,25370688.0,2
11,1,12,11,46,40709789.7023933,5303308.412173773,25370688.0,3
12,1,13,11,46,40709789.7023933,5303308.412173773,25370688.0,3
13,1,14,11,46,40709789.7023933,5303308.412173773,25370688.0,3
14,1,15,11,46,40709789.7023933,5303308.412173773,25370688.0,3
15,1,16,11,46,40709789.7023933,5303308.412173773,25370688.0,3
16,1,17,11,46,40709789.7023933,5303308.412173773,25370688.0,3
17,1,18,11,47,40709789.7023933,5303308.412173773,25370688.0,4
18,1,19,11,47,40709789.7023933,5303308.412173773,25370688.0,4
19,1,20,11,47,40709789.7023933,5303308.412173773,25370688.0,5
20,1,21,11,47,40709789.7023933,5303308.412173773,25370688.0,5
21,1,22,11,48,40709789.7023933,5303308.412173773,25370688.0,6
22,1,23,11,48,40709789.7023933,5303308.412173773,25370688.0,6
23,1,24,11,48,40709789.7023933,5303308.412173773,25370688.0,6
24,2,1,3,35,40707536.68455843,5303308.412173773,25370688.0,1
25,2,2,3,35,40707536.68455843,5303308.412173773,25370688.0,1
26,2,3,3,35,40707536.68455843,5303308.412173773,25370688.0,1
27,2,4,3,35,40707536.68455843,5303308.412173773,25370688.0,1
28,2,5,3,35,40707536.68455843,5303308.412173773,25370688.0,1
29,2,6,3,35,40707536.68455843,5303308.412173773,25370688.0,1
30,2,7,3,35,40707536.68455843,5303308.412173773,25370688.0,2
31,2,8,3,35,40707536.68455843,5303308.412173773,25370688.0,2
32,2,9,3,35,40707536.68455843,5303308.412173773,25370688.0,2
33,2,10,3,35,40707536.68455843,5303308.412173773,25370688.0,2
34,2,11,3,35,40707536.68455843,5303308.412173773,25370688.0,2
35,2,12,11,46,40707536.68455843,5303308.412173773,25370688.0,3
36,2,13,11,46,40707536.68455843,5303308.412173773,25370688.0,3
37,2,14,11,46,40707536.68455843,5303308.412173773,25370688.0,3
38,2,15,11,46,40707536.68455843,5303308.412173773,25370688.0,3
39,2,16,11,46,40707536.68455843,5303308.412173773,25370688.0,3
40,2,17,11,46,40707536.68455843,5303308.412173773,25370688.0,3
41,2,18,11,48,40707536.68455843,5303308.412173773,25370688.0,4
42,2,19,11,48,40707536.68455843,5303308.412173773,25370688.0,4
43,2,20,11,48,40707536.68455843,5303308.412173773,25370688.0,5
44,2,21,11,48,40707536.68455843,5303308.412173773,25370688.0,5
45,2,22,11,47,40707536.68455843,5303308.412173773,25370688.0,6
46,2,23,11,47,40707536.68455843,5303308.412173773,25370688.0,6
47,2,24,11,47,40707536.68455843,5303308.412173773,25370688.0,6
48,3,1,3,35,40671922.64769427,5303308.412173773,25370688.0,1
49,3,2,3,35,40671922.64769427,5303308.412173773,25370688.0,1
50,3,3,3,35,40671922.64769427,5303308.412173773,25370688.0,1
51,3,4,3,35,40671922.64769427,5303308.412173773,25370688.0,1
52,3,5,3,35,40671922.64769427,5303308.412173773,25370688.0,1
53,3,6,3,35,40671922.64769427,5303308.412173773,25370688.0,1
54,3,7,3,35,40671922.64769427,5303308.412173773,25370688.0,2
55,3,8,3,35,40671922.64769427,5303308.412173773,25370688.0,2
56,3,9,3,35,40671922.64769427,5303308.412173773,25370688.0,2
57,3,10,3,35,40671922.64769427,5303308.412173773,25370688.0,2
58,3,11,3,35,40671922.64769427,5303308.412173773,25370688.0,2
59,3,12,11,46,40671922.64769427,5303308.412173773,25370688.0,3
60,3,13,11,46,40671922.64769427,5303308.412173773,25370688.0,3
61,3,14,11,46,40671922.64769427,5303308.412173773,25370688.0,3
62,3,15,11,46,40671922.64769427,5303308.412173773,25370688.0,3
63,3,16,11,46,40671922.64769427,5303308.412173773,25370688.0,3
64,3,17,11,46,40671922.64769427,5303308.412173773,25370688.0,3
65,3,18,11,46,40671922.64769427,5303308.412173773,25370688.0,4
66,3,19,11,46,40671922.64769427,5303308.412173773,25370688.0,4
67,3,20,11,47,40671922.64769427,5303308.412173773,25370688.0,5
68,3,21,11,47,40671922.64769427,5303308.412173773,25370688.0,5
69,3,22,11,48,40671922.64769427,5303308.412173773,25370688.0,6
70,3,23,11,48,40671922.64769427,5303308.412173773,25370688.0,6
71,3,24,11,48,40671922.64769427,5303308.412173773,25370688.0,6
72,4,1,3,35,40669239.15562898,5303308.412173773,25370688.0,1
73,4,2,3,35,40669239.15562898,5303308.412173773,25370688.0,1
74,4,3,3,35,40669239.15562898,5303308.412173773,25370688.0,1
75,4,4,3,35,40669239.15562898,5303308.412173773,25370688.0,1
76,4,5,3,35,40669239.15562898,5303308.412173773,25370688.0,1
77,4,6,3,35,40669239.15562898,5303308.412173773,25370688.0,1
78,4,7,3,35,40669239.15562898,5303308.412173773,25370688.0,2
79,4,8,3,35,40669239.15562898,5303308.412173773,25370688.0,2
80,4,9,3,35,40669239.15562898,5303308.412173773,25370688.0,2
