,Secteur,Scenario
5094,2,15
5099,3,11
5105,4,3
5107,5,11
5109,6,15
5112,1,15
5118,2,15
5123,3,11
5129,4,11
5131,5,11
5133,6,11
5136,1,11
5142,2,3
5147,3,11
5153,4,11
5155,5,15
5157,6,15
5160,1,15
5166,2,3
5171,3,11
5177,4,11
5179,5,11
5181,6,11
5184,1,11
5190,2,3
5195,3,11
5201,4,3
5203,5,11
5205,6,15
5208,1,11
5214,2,3
5219,3,11
5225,4,2
5227,5,11
5229,6,15
5232,1,11
5238,2,3
5243,3,11
5249,4,3
5251,5,11
5253,6,15
5256,1,11
5262,2,15
5267,3,11
5273,4,15
5275,5,11
5277,6,3
5280,1,3
5286,2,3
5291,3,11
5297,4,11
5299,5,11
5301,6,11
5304,1,11
5310,2,3
5315,3,11
5321,4,3
5323,5,11
5325,6,2
5328,1,11
5334,2,3
5339,3,11
5345,4,11
5347,5,15
5349,6,3
5352,1,11
5358,2,3
5363,3,11
5369,4,2
5371,5,11
5373,6,2
5376,1,15
5382,2,15
5387,3,11
5393,4,11
5395,5,11
5397,6,11
5400,1,3
5406,2,3
5411,3,11
5417,4,11
5419,5,11
5421,6,11
5424,1,15
5430,2,3
5435,3,11
5441,4,11
5443,5,11
5445,6,11
5448,1,11
5454,2,15
5459,3,11
5465,4,15
5467,5,11
5469,6,3
5472,1,15
5478,2,15
5483,3,11
5489,4,11
5491,5,11
5493,6,11
5496,1,11
5502,2,3
5507,3,11
5513,4,3
5515,5,11
5517,6,3
5520,1,11
5526,2,3
5531,3,11
5537,4,15
5539,5,11
5541,6,15
5544,1,11
5550,2,15
5555,3,11
5561,4,15
5563,5,11
5565,6,15
5568,1,11
5574,2,15
5579,3,11
5585,4,3
5587,5,11
5589,6,15
5592,1,3
5598,2,11
5603,3,11
5609,4,15
5611,5,11
5613,6,3
5616,1,11
5622,2,15
5627,3,11
5633,4,3
5635,5,11
5637,6,15
5640,1,11
5646,2,3
5651,3,11
5657,4,3
5659,5,11
5661,6,15
5664,1,3
5670,2,11
5675,3,11
5681,4,3
5683,5,11
5685,6,15
5688,1,11
5694,2,3
5699,3,11
5705,4,2
5707,5,11
5709,6,3
5712,1,15
5718,2,3
5723,3,11
5729,4,11
5731,5,11
5733,6,11
5736,1,11
5742,2,3
5747,3,11
5753,4,3
5755,5,11
5757,6,15
5760,1,11
5766,2,15
5771,3,11
5777,4,15
5779,5,11
5781,6,3
5784,1,15
5790,2,15
5795,3,11
5801,4,11
5803,5,11
5805,6,11
5808,1,11
5814,2,3
5819,3,11
5825,4,11
5827,5,3
5829,6,15
5832,1,11
5838,2,15
5843,3,11
5849,4,15
5851,5,11
5853,6,15
5856,1,3
5862,2,11
5867,3,11
5873,4,15
5875,5,11
5877,6,3
5880,1,11
5886,2,3
5891,3,11
5897,4,15
5899,5,11
5901,6,3
5904,1,11
5910,2,3
5915,3,11
5921,4,3
5923,5,11
5925,6,3
5928,1,15
5934,2,3
5939,3,11
5945,4,11
5947,5,11
5949,6,11
5952,1,11
5958,2,3
5963,3,11
5969,4,3
5971,5,11
5973,6,3
5976,1,11
5982,2,3
5987,3,11
5993,4,3
5995,5,11
5997,6,2
6000,1,11
6006,2,3
6011,3,11
6017,4,15
6019,5,11
6021,6,15
6024,1,3
6030,2,3
6035,3,11
6041,4,11
6043,5,11
6045,6,11
6048,1,3
6054,2,15
6059,3,11
6065,4,11
6067,5,11
6069,6,11
6072,1,11
6078,2,3
6083,3,11
6089,4,15
6091,5,11
6093,6,3
6096,1,11
6102,2,15
6107,3,11
6113,4,15
6115,5,11
6117,6,3
6120,1,11
6126,2,3
6131,3,3
6137,4,11
6139,5,11
6141,6,11
6144,1,11
6150,2,3
6155,3,11
6161,4,3
6163,5,11
6165,6,3
6168,1,11
6174,2,3
6179,3,11
6185,4,15
6187,5,11
6189,6,15
6192,1,11
6198,2,15
6203,3,11
6209,4,2
6211,5,11
6213,6,3
6216,1,11
6222,2,15
6227,3,11
6233,4,3
6235,5,11
6237,6,15
6240,1,3
6246,2,11
6251,3,11
6257,4,15
6259,5,11
6261,6,3
6264,1,15
6270,2,15
6275,3,11
6281,4,11
6283,5,11
6285,6,11
6288,1,11
6294,2,15
6299,3,11
6305,4,11
6307,5,15
6309,6,3
6312,1,11
6318,2,3
6323,3,3
6329,4,11
6331,5,11
6333,6,11
6336,1,11
6342,2,15
6347,3,11
6353,4,2
6355,5,11
6357,6,3
6360,1,3
6366,2,2
6371,3,11
6377,4,11
6379,5,11
6381,6,11
6384,1,11
6390,2,3
6395,3,3
6401,4,11
6403,5,11
6405,6,11
6408,1,3
6414,2,11
6419,3,11
6425,4,3
6427,5,11
6429,6,15
6432,1,11
6438,2,15
6443,3,11
6449,4,2
6451,5,11
6453,6,15
6456,1,3
6462,2,11
6467,3,11
6473,4,2
6475,5,11
6477,6,3
6480,1,11
6486,2,3
6491,3,11
6497,4,11
6499,5,3
6501,6,15
6504,1,3
6510,2,3
6515,3,11
6521,4,11
6523,5,11
6525,6,11
6528,1,3
6534,2,15
6539,3,11
6545,4,11
6547,5,11
6549,6,11
6552,1,11
6558,2,15
6563,3,11
6569,4,15
6571,5,11
6573,6,3
6576,1,11
6582,2,3
6587,3,11
6593,4,11
6595,5,3
6597,6,15
6600,1,15
6606,2,15
6611,3,11
6617,4,11
6619,5,11
6621,6,11
6624,1,11
6630,2,15
6635,3,11
6641,4,3
6643,5,11
6645,6,2
6648,1,3
6654,2,11
6659,3,11
6665,4,15
6667,5,11
6669,6,3
6672,1,11
6678,2,2
6683,3,11
6689,4,15
6691,5,11
6693,6,3
6696,1,11
6702,2,3
6707,3,11
6713,4,3
6715,5,11
6717,6,3
6720,1,11
6726,2,15
6731,3,11
6737,4,15
6739,5,11
6741,6,3
6744,1,11
6750,2,15
6755,3,11
6761,4,3
6763,5,11
6765,6,3
6768,1,11
6774,2,15
6779,3,3
6785,4,11
6787,5,11
6789,6,11
6792,1,3
6798,2,3
6803,3,11
6809,4,11
6811,5,11
6813,6,11
6816,1,11
6822,2,15
6827,3,11
6833,4,3
6835,5,11
6837,6,15
6840,1,11
6846,2,3
6851,3,11
6857,4,2
6859,5,11
6861,6,3
6864,1,11
6870,2,3
6875,3,3
6881,4,11
6883,5,11
6885,6,11
6888,1,11
6894,2,3
6899,3,11
6905,4,11
6907,5,15
6909,6,15
6912,1,11
6918,2,3
6923,3,11
6929,4,11
6931,5,3
6933,6,15
6936,1,11
6942,2,3
6947,3,11
6953,4,15
6955,5,11
6957,6,15
6960,1,15
6966,2,15
6971,3,11
6977,4,11
6979,5,11
6981,6,11
6984,1,11
6990,2,15
6995,3,11
7001,4,15
7003,5,11
7005,6,3
7008,1,15
7014,2,15
7019,3,11
7025,4,11
7027,5,11
7029,6,11
7032,1,11
7038,2,15
7043,3,11
7049,4,11
7051,5,15
7053,6,3
7056,1,11
7062,2,3
7067,3,11
7073,4,11
7075,5,15
7077,6,3
7080,1,11
7086,2,15
7091,3,11
7097,4,2
7099,5,11
7101,6,3
7104,1,11
7110,2,15
7115,3,11
7121,4,3
7123,5,11
7125,6,3
7128,1,11
7134,2,3
7139,3,11
7145,4,11
7147,5,15
7149,6,15
7152,1,11
7158,2,3
7163,3,11
7169,4,11
7171,5,3
7173,6,15
7176,1,11
7182,2,15
7187,3,11
7193,4,3
7195,5,11
7197,6,15
7200,1,3
7206,2,11
7211,3,11
7217,4,3
7219,5,11
7221,6,3
7224,1,3
7230,2,11
7235,3,11
7241,4,2
7243,5,11
7245,6,3
7248,1,11
7254,2,3
7259,3,11
7265,4,15
7267,5,11
7269,6,2
7272,1,11
7278,2,15
7283,3,3
7289,4,11
7291,5,11
7293,6,11
7296,1,15
7302,2,2
7307,3,11
7313,4,11
7315,5,11
7317,6,11
7320,1,15
7326,2,15
7331,3,11
7337,4,11
7339,5,11
7341,6,11
7344,1,15
7350,2,15
7355,3,11
7361,4,11
7363,5,11
7365,6,11
7368,1,11
7374,2,3
7379,3,11
7385,4,11
7387,5,15
7389,6,3
7392,1,11
7398,2,15
7403,3,11
7409,4,3
7411,5,11
7413,6,3
7416,1,11
7422,2,15
7427,3,11
7433,4,15
7435,5,11
7437,6,3
7440,1,11
7446,2,3
7451,3,11
7457,4,3
7459,5,11
7461,6,3
7464,1,11
7470,2,3
7475,3,11
7481,4,11
7483,5,3
7485,6,2
7488,1,2
7494,2,3
7499,3,11
7505,4,11
7507,5,11
7509,6,11
7512,1,11
7518,2,3
7523,3,11
7529,4,11
7531,5,15
7533,6,15
7536,1,11
7542,2,15
7547,3,11
7553,4,3
7555,5,11
7557,6,3
7560,1,11
7566,2,3
7571,3,11
7577,4,11
7579,5,3
7581,6,15
7584,1,11
7590,2,15
7595,3,11
7601,4,2
7603,5,11
7605,6,3
7608,1,11
7614,2,15
7619,3,11
7625,4,3
7627,5,11
7629,6,15
7632,1,11
7638,2,15
7643,3,11
7649,4,3
7651,5,11
7653,6,3
7656,1,11
7662,2,15
7667,3,11
7673,4,15
7675,5,11
7677,6,15
7680,1,11
7686,2,3
7691,3,11
7697,4,11
7699,5,2
7701,6,15
7704,1,11
7710,2,3
7715,3,15
7721,4,11
7723,5,11
7725,6,11
7728,1,15
7734,2,15
7739,3,11
7745,4,11
7747,5,11
7749,6,11
7752,1,11
7758,2,3
7763,3,11
7769,4,11
7771,5,15
7773,6,3
7776,1,11
7782,2,15
7787,3,11
7793,4,15
7795,5,11
7797,6,3
7800,1,11
7806,2,15
7811,3,11
7817,4,3
7819,5,11
7821,6,3
7824,1,15
7830,2,15
7835,3,11
7841,4,11
7843,5,11
7845,6,11
7848,1,11
7854,2,3
7859,3,11
7865,4,11
7867,5,15
7869,6,15
7872,1,11
7878,2,3
7883,3,11
7889,4,15
7891,5,11
7893,6,15
7896,1,15
7902,2,15
7907,3,11
7913,4,11
7915,5,11
7917,6,11
7920,1,2
7926,2,15
7931,3,11
7937,4,11
7939,5,11
7941,6,11
7944,1,3
7950,2,11
7955,3,11
7961,4,3
7963,5,11
7965,6,3
7968,1,11
7974,2,3
7979,3,11
7985,4,15
7987,5,11
7989,6,2
7992,1,11
7998,2,3
8003,3,11
8009,4,11
8011,5,2
8013,6,3
8016,1,11
8022,2,3
8027,3,11
8033,4,11
8035,5,2
8037,6,3
8040,1,11
8046,2,15
8051,3,11
8057,4,3
8059,5,11
8061,6,3
8064,1,11
8070,2,3
8075,3,11
8081,4,11
8083,5,15
8085,6,3
8088,1,11
8094,2,3
8099,3,3
8105,4,11
8107,5,11
8109,6,11
8112,1,15
8118,2,15
8123,3,11
8129,4,11
