Culture,variété 23-24,Type de plantations 23-24
Framboise,YAZMIN,TP
Framboise,YAZMIN,MD
Framboise,YAZMIN,CB
Framboise,Adelita,TP
Mure,VICTORIA,Long canne ST
Mure,LAURITA,Long canne ST
Mure,LAURITA,MD1
Mure,LAURITA,MD2
Mure,Clara,Long canne interne
Mure,Henrienta,MD1
